,0
work-,1
family-related,1
conflicts.,1
Key,1
included,8
family,4
friends,1
Women,1
endorsed,1
motives,1
most,2
motivated,1
stop,2
drinking.,1
Health,1
concerns,1
cited,1
reasons,1
drinking;,1
"however,",4
few,1
their,8
doctors,1
recommended,3
they,4
"abstain.
",1
"Conclusions
",5
Several,1
"identified,",1
well,4
some,6
opportunities,1
"prevention,",1
Russia.,1
Awareness-raising,1
training,1
regarding,1
adverse,3
consequences,2
persons,1
include,2
"clinicians,",1
patients,39
"relatives.
",1
COVID-19,4
pandemic,2
various,4
degrees,1
lockdown,5
applied,2
countries,4
around,1
world.,1
It,4
considered,1
measures,2
effect,6
mental,6
but,9
relationship,6
measure,1
intensity,1
thoroughly,1
studied.,1
Here,2
report,2
larger,1
COMET-G,1
pertaining,1
"question.
",1
Material,2
"pandemic,",1
gathered,1
online,1
questionnaire,1
"55,589",1
40,2
(64.85%,1
females,2
aged,4
35.80 ±,1
13.61;,1
34.05%,1
males,2
34.90±13.29,1
1.10%,1
other,7
31.64±13.15).,1
Anxiety,1
measured,2
"STAI,",1
depression,3
CES-D,1
suicidality,1
RASS.,1
Distress,1
probable,1
identified,6
previously,2
developed,3
cut-off,1
algorithm,1
"respectively.
",1
Statistical,1
"Analysis
",1
calculation,1
Relative,1
Risk,1
"(RR),",1
Factorial,1
ANOVA,1
Multiple,1
backwards,1
stepwise,1
linear,4
"analysis
",1
Approximately,1
two-thirds,1
currently,2
significant,3
restrictions,1
due,1
lockdown.,1
For,2
both,11
risk,9
develop,1
correlated,3
significantly,3
each,2
every,1
level,3
increasing,1
degree,2
(RR,1
1.72,1
1.90,1
respectively).,3
combined,2
psychiatric,1
history,1
increased,1
RR,1
6.88,1
overall,9
severity,3
"depression,",1
though,1
"small.
",1
current,1
first,6
which,8
reports,2
almost,2
health.,1
Our,5
"findings,",1
support,3
previous,1
suggestions,2
concerning,2
need,3
proactive,1
targeted,1
intervention,1
protect,1
specifically,2
vulnerable,1
"groups
",1
CE,2
method,4
CuSO4,1
2-hydroxypropyl-β-cyclodextrin,1
additives,1
sodium,1
acetate,1
background,2
electrolyte,1
pH 4.3,1
simultaneous,1
determination,1
amino,4
acids,5
lactic,3
acid,2
adapted,1
comparative,1
metabolism,2
"""healthy""",1
non-alcoholic,1
fatty,2
liver,3
disease,12
HepG2.,1
vitro,1
exposure,1
HepG2,1
oleate,1
palmitate,1
simulate,1
excessive,1
flow,6
into,3
hepatocytes.,1
proven,1
be,15
consistent,2
"pathophysiology,",1
since,1
intracellular,1
triglyceride,1
cytokine,1
interleukin,1
8,1
levels,11
"increased,",1
while,1
viability,1
decreased.,1
order,1
check,1
"pathology,",1
proposed,2
sample,1
preparation,1
culture,2
medium,2
characterized,2
evaluating,1
dynamic,1
"range,",1
repeatability,1
intermediate,1
precision,1
peak,2
areas,1
migration,1
"times,",1
accuracy,1
(recovery,1
rate,3
trueness,1
reference,1
"method),",1
detection,1
limits,1
quantitation,2
limits.,1
proved,1
"sensitive,",1
reliable,1
highly,1
accurate,1
acid.,1
concentrations,4
healthy,7
"Arg,",1
"Ala,",1
"Glu,",1
Gln,1
comparison,2
"control.
",1
Myeloperoxidase,1
"(MPO),",1
oxidant-producing,1
enzyme,1
"neutrophils,",1
prime,1
platelet,4
activity,3
immunothrombosis.,1
Native,1
MPO,14
"homodimer,",1
consisting,1
two,3
identical,1
protomers,1
(monomer),1
connected,1
single,2
disulfide,3
bond.,1
But,1
inflammatory,2
"foci,",1
form,3
monomer,1
dimer.,1
Beside,1
complexes,1
molecules,1
modified,3
"oxidants,",1
ultimately,1
affect,2
physicochemical,1
functions.,1
forms,1
complex,3
ceruloplasmin,1
"(CP),",1
physiological,1
inhibitor,1
"MPO,",2
activity.,2
Monomeric,1
(hemi-MPO),1
treating,1
dimeric,4
reductive,1
alkylation.,1
HOCl,3
molar,1
ratio,1
1:100,1
(MPO-HOCl).,1
Using,2
surface-enhanced,1
Raman,1
scattering,1
(SERS),1
spectroscopy,1
showed,3
peaks,1
about,4
510,1
526 cm−1,1
corresponded,1
bond,2
recognizable,1
SERS-spectra,1
absent,1
spectrum,3
hemi-MPO,2
less,3
intense,1
spectra,2
"MPO-HOCl,",1
indicates,1
partial,1
decomposition,1
cleavage,1
modification.,1
lesser,1
extent,1
bound,1
platelets,2
agonist-induced,1
aggregation,1
platelet-neutrophil,1
aggregate,1
formation.,1
CP,2
bind,1
no,3
"Thus,",1
modification,1
"HOCl,",1
presence,2
monomeric,1
reduces,1
function,12
consequently,1
decreases,1
thrombosis,1
"foci.
",1
Moscow,1
"1950′s,",1
physicist,1
M.,3
Bongard,4
silent,2
substitution,2
establish,1
dimensions,1
human,2
or,20
animal,2
colour,2
vision,2
derive,1
colour-matching,1
functions,1
either,2
whole,1
organisms,1
individual,2
channels.,1
"1956,",1
he,1
his,1
colleague,1
S.,1
Smirnov,2
extra-foveal,3
tetrachromatic,1
when,2
tested,1
silent-substitution,1
called,2
‘replacement,1
colorimetry’.,1
steady,1
"state,",2
trichromatic,3
matches,3
possible,2
"regions,",1
transients,1
visible,1
one,5
match,2
replaced,1
another.,1
"If,",1
made,2
four,2
"primaries,",1
then,1
possible;,1
–,3
unlike,1
ones,1
stable,2
light,1
state,1
chromatic,2
adaptation.,1
believed,1
fourth,1
receptor,1
had,14
spectral,1
sensitivity,2
"rods,",1
working,1
long,2
before,3
discovery,1
intrinsically,1
photosensitive,1
retinal,1
ganglion,1
cells.,1
On,1
fiftieth,1
anniversary,1
Bongard’s,1
grievous,1
"death,",2
provide,3
translation,1
Smirnov’s,2
paper,1
tetrachromacy,2
vision.,1
"commentary,",1
give,1
work,1
details,1
apparatus,1
procedure.,1
briefly,1
discuss,1
related,2
research,2
reception,1
West,1
claims.,1
suggest,1
analogy,1
parafovea,1
‘weak,1
tetrachromacy’,1
heterozygotes,1
anomalous,1
"vision,",1
whose,1
"adaptation.
",1
Bipolar,1
(BPD),2
deficits,1
"cognition,",1
there,5
still,1
controversies,1
medications,2
cognitive,4
performance.,1
"Here,",2
investigated,3
cognition,1
terms,2
executive,1
"functions,",1
"memory,",1
attention,1
first-episode,1
medication-naive,2
BPD,9
taking,3
olanzapine.,1
Forty-one,1
"controls,",2
unmedicated,3
drug-naive,1
"patients,",5
took,4
only,5
olanzapine,6
recruited,2
study.,3
Cognitive,1
performance,4
Flanker,1
"test,",2
Stroop,1
Corsi-block,1
test.,1
Bayesian,1
multivariate,1
run,1
considering,2
maximum,1
robustness,1
avoid,1
bias,1
predict,1
outcomes.,1
results,7
performed,6
worse,1
controls,3
group,4
tasks.,1
"Additionally,",1
patients.,2
acute,4
predicted,1
dosage,1
serum,3
"(i.e.,",1
large,1
effects).,1
potential,3
pro-cognitive,1
carefully,1
interpreted,1
variables.,2
expect,1
our,2
will,3
"area,",1
goal,1
helping,1
"researchers,",1
"population.
",1
"Summary
",2
Predicted,1
increases,2
suicide,5
generally,1
observed,7
early,2
months,5
pandemic.,1
picture,2
changing,1
patterns,2
might,1
vary,1
across,2
demographic,2
groups.,2
aimed,2
"timely,",1
granular,1
pandemic's,3
impact,1
suicides,5
"globally.
",1
official,1
public-sector,1
sources,2
"countries/areas-within-countries,",1
searching,1
websites,1
academic,1
literature,3
contacting,1
custodians,1
authors,3
necessary.,1
sent,1
request,1
22nd,1
June,1
2021,2
stopped,1
collecting,1
31st,1
October,1
2021.,1
interrupted,1
series,2
(ITS),1
analyses,2
emergence,1
total,4
"sex-,",1
age-,1
sex-by-age,2
country/area-within-country.,1
expected,1
numbers,5
nine,1
10-15,1
meta-regression,2
explore,1
"variation.
",1
"Findings
",2
sourced,1
33,2
(24,1
"high-income,",1
six,1
"upper-middle-income,",1
three,3
lower-middle-income;,1
25,2
whole-country,1
"data,",4
12,3
"area(s)-within-the-country,",1
both).,1
There,2
evidence,3
greater-than-expected,1
majority,3
countries/areas-within-countries,3
any,3
analysis;,1
"commonly,",1
lower-than-expected,1
numbers.,1
Certain,1
"sex,",1
groups,4
stood,1
out,2
potentially,2
"concerning,",2
countries/areas-within-countries.,1
"meta-regression,",1
different,2
explained,2
countries’,2
mortality,2
"rate,",1
stringency,1
public,1
"response,",1
economic,2
"level,",2
national,1
prevention,1
strategy.,1
Nor,1
income,1
high-income,1
upper-middle-income,1
"countries,",1
ITS,1
lower-middle-income,1
fared,1
"well.
",2
"Interpretation
",2
Although,2
where,1
certain,1
sex-,1
age-based,1
"greater-than-expected,",1
minority.,1
Any,1
upward,1
movement,2
place,1
remain,1
alert,1
respond,1
"continue.
",1
"Funding
",2
"None.
",1
"Abstract
",2
ALK-positive,4
histiocytosis,4
rare,1
subtype,1
histiocytic,2
neoplasm,1
described,2
2008,1
3,2
infants,2
multisystemic,3
involving,1
hematopoietic,4
system.,1
entity,1
subsequently,1
documented,2
case,1
occupy,1
wider,1
clinicopathologic,4
recurrent,1
KIF5B-ALK,2
fusions.,1
full,2
molecular,2
"remain,",1
poorly,1
characterized.,1
describe,1
largest,1
"date,",1
detailed,2
39,2
"cases,",3
including,2
37,1
cases,3
confirmed,1
ALK,2
rearrangements.,1
comprised,2
distinct,1
phenotypic,1
groups:,2
"involvement,",1
originally,1
(Group,3
1A:,1
"6/39),",1
1B:,1
"10/39),",1
single-system,1
2:,1
23/39).,1
Nineteen,1
entire,1
(49%),1
neurologic,2
involvement,1
(7,1
Groups,1
1B,1
"2,",1
Histology,1
classic,1
xanthogranuloma,1
features,1
one-third,1
whereas,3
displayed,1
densely,1
"cellular,",1
monomorphic,1
appearance,1
without,1
lipidized,1
histiocytes,2
sometimes,1
spindled,1
epithelioid,1
morphology.,1
Neoplastic,1
positive,1
macrophage,1
markers,1
often,1
conferred,1
strong,2
phosphorylated,1
signal-regulated,1
"kinase,",1
confirming,1
MAPK,1
pathway,1
activation.,1
fusions,2
detected,3
27,1
"CLTC-ALK,",1
"TPM3-ALK,",1
"TFG-ALK,",1
"EML4-ALK,",1
DCTN1-ALK,1
cases.,2
Robust,1
durable,1
responses,2
11/11,1
treated,4
"inhibition,",1
10,1
involvement.,1
presents,1
landscape,1
provides,1
guidance,1
management,1
emerging,1
"entity.
",1
Essential,1
tremor,3
(ET),1
common,1
disorders.,2
heterogeneity,2
ET,3
studied,2
"years,",1
practically,1
comprehensive,1
dedicated,1
assessment,1
biochemical,5
electrophysiological,2
parameters,4
motor,2
non-motor,1
disorders,9
present,1
account,1
"heterogeneity.
",1
"Objectives
",3
objective,2
differentiate,1
subgroups,1
essential,2
cluster,1
"clinical,",1
"parameters.
",1
enrolled,1
90,1
ET.,1
Clustering,1
perform,2
scales,1
"FTMS,",1
"ADL,",1
"MoCA,",1
"Beka,",1
surface,1
electromyographic,2
"IL-1β,",1
"IL-6,",1
"IL-8,",1
"IL-10,",1
"TNFα,",1
uric,1
"acid,",1
"ceruloplasmin,",1
"MDA.
",1
Based,1
"manifestations,",1
psychoemotional,1
adaptive,1
aspects,1
"pathogenesis,",1
relatively,1
homogeneous,1
clusters,1
"identified.
",1
Revealing,1
allows,2
expand,1
"disease.
",1
Implantation,1
stimulating,1
electrodes,2
basement,1
vertebral,1
spinous,1
process,1
quickly,1
stably,1
fixed,1
relative,1
spinal,3
cord.,1
"approach,",1
selectivity,1
rat,2
muscle,3
during,7
transvertebral,1
(TS).,1
"work,",1
TS,7
induce,1
forward,3
stepping,4
cat's,1
hindlimbs,1
epidural,1
"(ES).
",1
Materials,1
electrode,2
placed,1
VL3–VL6,1
vertebrae,1
five,2
decerebrated,1
cats.,1
ES,1
same,1
cats,1
L5–L7,1
segments.,2
Kinematic,2
addition,1
musculus,1
(m.),1
iliopsoas,1
"(IP),",1
m.,2
tibialis,1
anterior,2
"(TA),",1
gastrocnemius,1
lateralis,1
(GL),1
"hindlimbs.
",1
With,1
VL3–VL4,1
"TS,",1
all,3
capable,1
bipedal,1
"stepping,",1
VL5,1
VL6,1
led,2
5,2
1,2
"animals,",1
respectively.,3
Well-coordinated,1
high,5
intra-,1
interlimb,1
coordination.,1
TS-induced,1
similar,4
those,1
ES.,2
VL3,2
vertebra,1
causes,1
frequency,1
lock,1
integer,1
multiple,2
frequency.,2
Similarly,1
"model,",1
TS-evoked,1
site,1
specific.,2
They,1
minimal,1
maximal,1
VL4–VL5,1
(IP),1
VL5–VL6,1
"(TA,",1
"GL).
",1
hypotheses,1
location,1
central,1
pattern,1
generators,1
upper,1
lumbar,1
approach,3
placement,1
surgically,1
easier,1
useful,1
studying,1
site-specific,1
neuromodulation,1
sensorimotor,1
networks,1
investigating,1
new,1
strategies,1
locomotor,1
recovery,1
"models.
",1
Changes,1
sex,1
hormones,1
menopause,1
detrimental,1
woman's,1
sexual,11
mood,10
challenge,1
"gynecology.
",1
"Aim
",1
To,2
review,6
published,3
peri-,1
postmenopausal,1
"women.
",2
based,4
methodological,1
framework,1
scoping,1
reviews.,1
searched,2
electronic,1
databases,1
Medline,1
"(PubMed),",1
"Scopus,",2
"Embase,",2
Web,1
Science,1
(WoS).,1
Publications,1
menopausal,3
review.,1
search,3
subject,1
limitation,1
"method.
",1
"Outcomes
",1
main,2
outcome,1
dysfunction,7
"disorders.
",1
106,1
records.,1
After,2
full-text,1
screening,1
19,2
1986,1
2020,1
methodologies;,1
studies16,1
cross-sectional.,1
Investigations,1
addressed,1
symptoms,1
domains,1
close,1
Clinical,1
"implications
",1
"practice,",1
it,2
would,1
appropriate,1
screen,1
least,1
disorder,3
dysfunction.,1
If,1
woman,1
suffers,1
"either,",1
necessary,1
Strengths,1
&,1
"Limitations
",1
reproductive,1
age.,1
importance,1
"subject,",1
inclusion,2
rather,1
small.,1
Further,1
investigation,1
topic,1
clearly,1
"warranted.
",1
While,1
appears,1
"bidirectional,",1
future,2
investigate,2
specific,1
could,3
lead,1
(or,1
vice,1
versa).,1
Future,1
address,1
dysfunctions,1
attitudes,1
"partners,",1
"BMI,",2
"support,",1
"sleep,",1
multiparity.,1
Azam,1
"Rahmani,",1
Elahe,1
"Afsharnia,",1
Julia,1
"Fedotova,",1
Shirin,1
"Shahbazi,",1
Arezoo,1
"Fallahi,",1
Leila,1
"Allahqoli,",1
Reza,1
"GhaneipoklGheshlagh,",1
Sarah,1
"Abboud,",1
Ibrahim,1
Alkatout.,1
Sexual,1
Function,1
Mood,1
Disorders,1
Among,2
Menopausal,1
Women:,1
Systematic,2
Scoping,1
Review.,1
J,1
Sex,1
Med,1
"2022;19:1098–1115.
",1
Allogeneic,1
stem,4
cell,5
transplantation,3
(HSCT),2
curative,1
affected,2
Wiskott-Aldrich,1
syndrome,2
(WAS).,1
Reported,1
HSCT,5
outcomes,5
improved,1
respect,1
"survival,",1
older,1
alternative,1
donors,1
predicting,1
poorer,1
outcome.,1
197,1
undergoing,2
transplant,2
European,1
Society,2
Blood,1
Marrow,1
Transplantation,2
centers,1
2006,1
2017,1
received,1
conditioning,4
Inborn,1
Errors,1
Working,1
Party,1
(IEWP):,1
busulfan,1
(n,2
=,2
103),1
treosulfan,1
94),1
fludarabine,1
±,1
thiotepa.,1
follow-up,1
post-HSCT,1
44.9,1
"months,",1
176,1
"alive,",1
resulting,2
3-year,1
survival,10
88.7%,1
graft-versus-host,2
(GVHD)-free,1
(events,1
graft,2
"failure,",1
severe,2
GVHD),1
81.7%.,1
Overall,1
GVHD-free,2
regimen,2
(busulfan-,1
vs,12
"treosulfan-based),",1
donor,7
type,1
(matched,1
sibling,2
donor/matched,1
matched,2
unrelated,2
donor/mismatched,1
mismatched,1
"donor),",1
period,3
(2006-2013,1
2014-2017).,1
Patients,5
<5,1
survival.,1
cumulative,1
incidences,3
grade,2
III,1
IV,1
GVHD,6
extensive/moderate/severe,1
6.6%,1
"2.1%,",1
receiving,1
treosulfan-based,1
higher,9
incidence,2
failure,1
mixed,1
chimerism,1
frequently,1
underwent,4
secondary,1
procedures,1
(second,1
"HSCT,",1
unconditioned,1
"boost,",1
lymphocyte,1
"infusion,",1
splenectomy).,1
"summary,",1
WAS,1
regimens,1
IEWP,1
excellent,1
low,1
"GVHD,",2
regardless,1
"source,",1
≥5,1
remains,1
factor,1
"survival.
",2
tetrahydrobiopterin,1
(BH4),1
reduced,2
schizophrenia.,1
BH4,6
deficiency,3
schizophrenia,5
precisely.,1
Objective:,1
range,1
evaluation,2
loss,1
development,1
symptoms.,1
Methods:,1
93,1
60,3
volunteers,2
randomly,1
selected,1
evaluated,2
examination,2
"BH4,",2
"folate,",2
cobalamin,1
"(B12),",1
"homocysteine,",1
C-reactive,1
"(CRP),",1
glutathione,1
(GSH),1
blood,8
serum.Patients,1
standardized,1
psychopathological,1
examination.,1
Results:,2
folate,2
lower,3
(p = 0.001,1
"p = 0.054,",1
"respectively),",1
homocysteine,2
(p = 0.012),1
group.,1
directly,1
moderately,2
(ρ = 0.43;,2
p = 0.0029),1
B12,1
p = 0.0020),1
inversely,1
(ρ = −0.54;,1
p = 0.00015),1
Cluster,1
biotype,2
"B12,",1
hyperhomocysteinemia.,1
CRP,1
GSH,1
"confirmed.
",1
noninvasive,1
tools,1
help,1
understand,1
states,1
caused,1
"medications,",1
symptom,1
"severity,",1
low-level,1
visual,5
contrast,1
"(CSF),",1
"reliable,",1
"robust,",1
widely,1
approach.,3
purpose,1
(1),1
impairments,2
(SCZ),1
bipolar,1
(2),1
variables,2
diseases.,1
Fifty-six,1
(HCs;,1
mean,1
age = 31.04,1
"years),",1
42,1
(mean,2
age = 32.84,1
years),2
"lithium,",1
SCZ,1
age = 32.80,1
CSF,1
differed,1
Both,1
exhibited,1
discrimination,1
"low,",1
"mid-,",1
spatial,2
frequencies,1
HCs.,1
No,1
differences,2
exception,1
"variables,",1
mediation,1
analyses.,1
aid,1
investigations,1
state-,1
trait-like,1
patient,2
populations.,1
underscores,1
remediation,1
"interventions.
",1
aim,1
article,2
retrospective,1
PDT,7
effectiveness,1
early-stage,2
cervical,4
cancer,3
HPV,4
elimination,3
via,1
"PDT
",1
"methods
",1
28,1
"retrospectively,",1
cancer.,1
session,1
multi-course,2
depended,1
reaction,1
response,4
therapy,1
after,13
session.,1
months.,3
Treatments,1
2015,1
2020.,1
Relapse-free,2
probability,4
Kaplan,1
Meier,1
estimator,1
elimiantion,1
"examined..
",1
82%,1
three-month,1
(R2 = 0.71).,1
90%,1
"0,8",1
(CI95%:,1
"0,53–1)",1
mild,1
(35.7%),1
(28.6%),1
leucocyte,1
"months.
",1
demonstrates,1
CC,1
five-year,1
relapse-free,3
PDT.,1
completing,1
multi-treatment,1
protocol,4
invasive,1
achieve,1
Background:,1
ALL,3
intensive,1
non-interruptive,1
RALL-2009,1
fulfilled,2
auto-hematopoietic,1
T-cell,3
reliably,2
improve,4
free,2
(DFS).,1
non-randomized,1
"trial,",1
selection,1
limited,1
auto-HSCT,7
chemotherapy,1
(ChT),1
only.,2
Aim:,1
appreciate,1
T-ALL,6
adult,2
RALL-2006,1
protocol.,1
Patients:,1
RALL-2016,1
achieved,1
complete,1
(CR),1
brought,1
randomization,1
informed,1
consent,1
ChT,4
267,1
Ph-negative,1
Dec,2
2016,1
until,1
Apr,1
2022.,1
111,1
"T-ALL,",1
74%,1
"male,",1
31.,1
5y,1
(OS),1
DFS,4
68%,1
"66%,",1
precursor,1
(ETP)-ALL,1
poor,3
"prognosis,",1
relapse,3
(PR),1
(52%,1
1st,1
year,1
CR).,1
87,1
(pts),1
randomized:,1
43,1
pts,2
"ChT,",1
44,1
auto-HSCT.,2
refused,2
"group,",1
4,1
auto-HSCT;,1
censored,1
refuse.,1
deaths,1
CR,2
"arms,",1
went,1
allo-HSCT,1
mixed-lineage,1
leukemia,1
(MLL),1
"leukemia,",1
Niimegem,1
MRD,4
persistence).,1
done.,1
transplanted,1
patients:,1
7,2
conditioned,1
"iomustine,",1
"etoposide,",1
"cytarabine,",1
melphalan,1
(CEAM),1
Maintenance,1
start,1
1.5,1
HSCT.,1
Transplant-related,1
5%.,1
Landmark,1
"post-HSCT,",1
didn't,2
detect,2
PR,1
(67%,1
"78%,",1
25%,1
22%,1
ChT).,1
Auto-HSCT,1
does,2
induction.,1
persistence,2
induction,1
(MRD-:,1
86%,1
81%,1
MRD+:,1
67%,1
"40%,",1
respectively,1
auto-HSCT).,1
Conclusions:,1
auto-HCST,1
long-term,1
result,1
ALL.,1
ETP-phenotype,1
independent,1
prognostic,1
factor.,1
Addition,1
late,1
high-dose,1
consolidation,1
"therapy.
",1
Medieval,1
yoga,2
texts,1
claim,1
special,1
exercise,3
muscles,1
"wall,",1
"agnisara,",1
improves,1
digestive,2
function.,2
Main,1
demonstrate,1
through,1
superior,3
mesenteric,3
artery,3
(if,1
any),1
"agnisara.
",1
Ultrasound,1
volumetric,1
indicators,1
(SMA),1
performing,2
agnisara,3
100,2
times,2
carried,1
sexes,1
(8,1
them,1
"women).
",1
diameter,1
"SMA,",2
systolic,1
diastolic,1
"velocities,",1
"found,",1
contrasts,1
established,1
splanchnic,2
humans,1
physical,1
"activity.
",1
Properly,1
"region,",1
registered,2
adequate,1
supply,1
gastrointestinal,1
tract,1
successful,1
"function.
",1
Adequate,1
maternal,4
thyroid,10
important,1
uncomplicated,1
pregnancy.,2
observational,1
hypertensive,1
"pregnancy,",3
methods,1
definitions,1
abnormalities,2
tests,2
"heterogeneous,",1
conflicting.,1
examine,1
gestational,6
hypertension,4
"pre-eclampsia.
",1
systematic,1
meta-analysis,1
individual-participant,2
MEDLINE,1
"(Ovid),",1
Cochrane,1
Database,1
Reviews,1
date,1
inception,1
"27,",1
"2019,",1
thyroid-stimulating,1
hormone,1
"(TSH),",1
thyroxine,1
"(FT4),",1
peroxidase,1
(TPO),1
"antibodies,",1
individually,1
"combination,",1
"hypertension,",1
"pre-eclampsia,",1
both.,1
issued,1
open,1
invitations,1
participate,1
Consortium,1
Thyroid,1
Pregnancy,1
share,1
data.,1
excluded,1
pre-existing,1
multifetal,1
primary,1
pre-eclampsia.,4
Individual-participant,1
analysed,1
logistic,1
mixed-effects,1
adjusting,1
"smoking,",1
"parity,",1
"ethnicity,",1
sampling.,1
"PROSPERO,",1
"CRD42019128585.
",1
1539,1
"studies,",1
cohorts,2
met,1
criteria,1
agreed,1
participate.,1
46 528,1
pregnant,1
"women,",2
whom,1
39 826,1
(85·6%),1
sufficient,1
(TSH,1
FT4,2
TPO,2
antibody,2
status),1
classified,1
according,1
status.,1
Of,1
1275,1
(3·2%),1
subclinical,4
"hypothyroidism,",1
933,1
(2·3%),1
isolated,2
"hypothyroxinaemia,",2
619,1
(1·6%),1
"hyperthyroidism,",2
337,1
(0·8%),1
overt,1
hyperthyroidism.,1
Compared,2
"euthyroidism,",2
hypothyroidism,2
pre-eclampsia,3
(2·1%,1
3·6%;,1
OR,1
1·53,1
[95%,1
1·09–2·15]).,1
Subclinical,1
positivity,1
continuous,1
"analyses,",1
TSH,2
concentration,1
(p=0·0001).,1
"measured.
",1
pregnancy,1
U-shaped,1
quantify,1
test,1
"abnormalities,",1
adding,1
body,1
fetal,1
implications,1
defining,1
optimal,1
target,1
levothyroxine,1
needs,2
interventional,1
"studies.
",1
Arkansas,1
Biosciences,1
Institute,1
Netherlands,1
Organization,1
Scientific,1
"Research.
",1
"ABSTRACT
",1
Cyclosporine,1
(CSA),1
