,0
"considerations,",1
addressing,3
needs,1
all,4
stakeholders.,1
focus,2
Transcranial,1
Magnetic,1
Stimulation,4
(TMS),1
intensity,2
transcranial,3
Electrical,1
(tES),1
-,1
Direct,1
Current,2
(tDCS),1
Alternating,1
"(tACS).
",1
"Methods
",11
consensus,1
paper,2
provides,1
guidelines,1
practices,1
managing,2
reopening,1
clinics,1
laboratories,1
through,4
immediate,1
ongoing,2
stages,5
COVID-19.,1
document,1
reflects,1
experts,1
domain-relevant,1
expertise,1
spanning,1
"technology,",1
"services,",1
basic,2
–,1
international,1
perspective.,1
outline,1
"aspects,",1
"resources,",1
"optimization,",1
accommodations,1
"demographics.
",1
"Results
",10
model,4
based,3
three,8
phases,1
(early,1
"impact,",1
"practices,",1
preparation),1
11-step,1
checklist,1
(spanning,1
removing,1
streamlining,1
in-person,1
"protocols,",1
incorporating,1
"telemedicine,",1
COVID-19-associated,1
adverse,7
events),1
proposed.,1
Recommendations,1
implementing,1
social,1
distancing,1
sterilization,1
"equipment,",1
considerations,3
positive,2
populations,2
"comorbidities,",1
regarding,3
resource,1
era,1
outlined.,1
specifically,1
(sub-)populations,1
"pediatric,",1
"stroke,",1
"addiction,",1
elderly.,1
Numerous,2
case-examples,1
across,1
world,2
"described.
",1
"Conclusion
",7
"evident,",1
"urgent,",1
maintain,1
"pandemic,",1
anticipating,1
waves,1
mind.,1
proposed,1
robust,1
structured,1
strategy,1
aims,2
anticipated,1
challenges,1
maintaining,1
scientific,1
rigor,1
"risk.
",2
Background:,1
Data,1
genetic,3
markers,4
determine,2
prognosis,2
multiple,7
sclerosis,2
(MS),1
still,2
limited.,1
galanin,3
polymorphism,5
rs948854,5
MS,2
been,7
demonstrated,9
earlier.,1
Objectives:,1
confirm,1
earlier,2
findings,3
distinct,1
previously,1
"patients,",3
characterized,5
one,5
candidates,1
stratification,1
MS.,1
Methods:,1
assess,1
rate,3
"progression,",1
severity,5
score,2
(MSSS),1
Age,1
Related,1
Multiple,1
Sclerosis,1
Severity,1
(ARMSS),1
"used,",1
along,2
Progression,1
Index,1
(PI).,1
Results:,1
minor,4
allele,4
"revealed,",1
confirming,1
findings.,2
An,4
proportion,1
MSSS > 5,1
(high,1
progression),1
among,3
G,1
carriers,2
(genotypes,1
AG,1
GG),1
compared,19
AA,1
genotype.,1
"Furthermore,",2
age,11
correlated,3
MSSS,1
value,1
late,5
(>30,1
years).,1
Conclusion:,1
"Collectively,",1
support,1
contribution,2
"MS.
",1
"Summary
",2
"Purpose
",1
describe,1
analyze,2
patient,4
recurrent,4
idiopathic,4
exudative,2
polymorphous,2
vitelliform,3
maculopathy,1
"(AEPVM),",1
followed,3
"detail,",1
propose,1
"algorithm.
",1
"Design
",1
Retrospective,1
observational,1
"analysis.
",1
"Patient
",1
adult,3
male,2
diagnosed,1
AEPVM,2
who,5
two,6
relapses,1
12-month,1
eight,1
years,6
initial,4
"onset.
",1
Review,3
"charts,",1
multimodal,2
"imaging,",1
electrophysiology,2
repeatedly,1
underwent,2
complete,2
ophthalmic,1
"examinations,",1
best-corrected,1
visual,4
acuity,1
testing,2
"(BCVA),",1
slit-lamp,1
fundus,5
examinations;,1
digital,1
"photography,",1
time-domain,1
optical,1
coherence,1
tomography,1
(OCT),1
2009,1
(Stratus,1
"OCT,",1
Carl,1
Zeiss,1
"Meditec,",1
USA),1
spectral-domain,1
OCT,1
2017–2018,1
"(Spectralis-OCT,",1
Heidelberg,1
"Engineering,",2
"Germany),",1
together,3
autofluorescence,3
"(FAF),",1
fluorescein,1
angiography,2
"(FA),",1
indocyanine,1
green,1
"(ICGA),",1
HRA2,1
(Heidelberg,1
Germany);,1
microperimetry,1
(MP-1,1
"microperimeter,",1
"Nidek,",1
Japan).,1
Laser,1
flare,1
photometry,1
(Kowa,1
"FM-600,",1
Japan),1
"performed.
",1
Main,1
outcome,5
"measures
",1
Clinical,1
features,4
"AEPVM,",2
algorithm,1
rare,1
"cases.
",2
Case,1
report,2
25-year-old,1
Caucasian,2
typical,1
serous,2
neuroepithelial,1
detachment,1
irregular,1
retinal,4
"elevations,",1
ophthalmoscopically,1
resembling,1
"folds,",2
subsequent,1
subretinal,1
accumulation,2
characteristic,1
yellow–white,1
deposits.,1
Features,1
case,3
rarely,1
"described,",1
even,2
yet,1
"reported,",1
indocyanine-,1
fluorescein-negative,1
intraretinal,1
cystic,1
"changes,",1
optic,1
disc,1
hyperfluorescence,1
"FA,",1
elevations,1
choroidal,1
"thickness,",1
lack,1
"recovery,",1
very,5
slow,2
anatomical,1
improvement,2
relapses.,1
Bimonthly,2
evaluation,3
SD-OCT,2
informative,1
demonstrating,1
evolution,1
pathological,1
"signs.
",1
chronic,3
condition,1
uncertain,1
outcomes.,1
variable,1
presentations,1
depending,1
stage,2
manifestations,3
imaging,2
pathologic,1
process,1
overlap.,1
Patients,6
should,4
occurs,1
"slowly,",1
if,1
all.,1
recommended,2
"ABSTRACT
",2
Allogeneic,1
hematopoietic,2
transplantation,1
(HCT),1
high-risk,1
T,2
lymphoblastic,1
leukemia,2
(T-ALL).,1
without,6
HLA-identical,1
"donor,",1
haploidentical,2
(haplo-),1
HCT,1
becoming,1
source,1
stem,2
donation.,1
scarce,1
predictive,2
factors,1
setting.,1
identified,3
122,2
adults,1
(20%,1
female;,1
median,9
"age,",4
31,2
years;,2
"range,",1
18,5
68,2
years),1
T-ALL,1
haplo-HCT,3
post-transplantation,2
cyclophosphamide,2
(ptCy),1
2010,1
2017.,1
duration,4
living,1
23,1
months.,4
2-year,3
incidences,1
relapse,2
nonrelapse,2
mortality,3
45%,1
"21%,",2
respectively.,5
leukemia-free,2
"(LFS),",1
"(OS),",1
graft-versus-host,2
(GRFS),1
"34%,",1
"42%,",1
"27%,",1
LFS,5
OS,7
highly,3
influenced,2
status,3
"transplantation,",1
being,1
49%,1
"55%,",1
"respectively,",3
first,8
remission,1
(CR1);,1
34%,1
"50%,",1
second,4
CR,1
(CR2);,1
8%,1
"12%,",1
active,5
On,2
multivariate,2
"analysis,",2
OS.,2
Transplantation,3
CR2,1
negatively,2
affected,5
"LFS,",1
whereas,4
"conclusion,",1
ptCy,1
produced,1
encouraging,1
results,8
challenging,1
particularly,1
when,2
performed,3
CR.,1
Despite,2
limitation,1
small,2
sample,1
"size,",1
type,2
"conditioning,",1
calling,1
into,4
question,1
body,2
irradiation-based,1
myeloablative,1
conditioning,4
"setting.
",1
"HIV,",1
heavy,5
"drinking,",1
smoking,5
pro-inflammatory,1
coronary,1
heart,1
(CHD).,1
Interventions,1
reduce,4
alcohol,8
"smoking,",2
HIV-positive,4
people,1
"inflammation,",2
CHD,2
risk.,1
Varenicline,1
cytisine,3
proven,2
therapies,1
cessation,2
consumption.,1
comparative,3
efficacy,7
varenicline,2
consumption,2
"tested,",1
nor,2
effectiveness,1
reported,5
"smoking.
",1
describes,1
protocol,2
Studying,1
Partial,1
agonists,1
Ethanol,1
Tobacco,1
Elimination,1
Russians,1
HIV,2
(St,1
PETER,2
"HIV),",1
four-arm,1
parallel-group,1
randomized,5
controlled,3
trial,3
comparing,2
"varenicline,",1
"cytisine,",1
nicotine,1
replacement,1
therapy,8
"(NRT).
",1
recruiting,1
four,1
hundred,1
drinking,3
smokers,2
interested,1
cutting,1
down,1
and/or,2
tobacco,2
St.,2
"Petersburg,",2
Russia.,1
Participants,1
randomly,1
assigned,1
receive,2
either,3
varenicline + NRT,1
"placebo,",2
placebo + active,2
"NRT,",1
cytisine + NRT,1
NRT.,1
All,1
participants,5
evidence-based,1
counseling,1
"medication,",1
placebo.,1
Outcomes,1
are:,1
1),4
%,15
past,1
month,1
(primary,2
months),2
craving;,1
2),1
cigarettes,1
per,3
3,5
7-day,1
point,2
prevalence,1
abstinence,1
and;,1
3),1
"risk,",1
St,1
addresses,1
paucity,1
guide,1
"smokers.
",1
Here,4
evaluate,3
mast,3
infection,5
influenza,5
A/H5N1,2
virus,2
immunized,3
mice.,2
CBA,1
mice,4
intramuscularly,1
formalin-inactivated,1
A/Vietnam/1194/2004,1
(H5N1)NIBRG-14,1
(H5N1).,1
Serum,2
samples,2
"7,",1
"12,",1
"14,",2
21,2
immunization.,1
At,3
infected,1
intranasally,1
A/Indonesia/5/2005,1
(H5N1)IDCDC-RG2,1
(H5N1),1
half,1
animals,1
receiving,2
mixture,1
antihistamines.,1
67%,1
vaccinated,1
protected,1
lethality,1
43%,1
PBS-immunized,1
group.,2
Administration,2
antihistamines,1
up,1
85%–95%.,1
Immunohistochemical,1
examination,3
CD117,1
staining,2
lungs,2
larger,1
quantity,1
activated,1
mock-immunized,1
histamine,3
blood.,1
experimental,1
involvement,2
they,4
produce,1
incomplete,1
formation,1
response,12
vaccination,1
mismatch,1
vaccine,1
"viruses.
",1
Gestational,2
methylazoxymethanol,1
acetate,1
(MAM),1
produces,1
offspring,1
phenotype,4
relevant,1
"schizophrenia,",1
positive-,1
negative-like,1
"symptoms,",1
"deficits,",1
dopaminergic,1
"dysfunction,",1
abnormalities.,1
show,2
prenatally,1
MAM,5
gestational,8
17,3
display,1
D3,6
(D3),1
prefrontal,1
cortex,1
"(PFC),",1
nucleus,1
"accumbens,",1
D2,2
(D2),1
exclusively,1
PFC.,1
change,1
blood,9
perfusion,1
circle,1
Willis,1
"hippocampus,",1
paralleled,1
enlargement,1
lateral,1
"ventricles,",1
detected,4
magnetic,1
resonance,1
(MRI),1
techniques.,1
Peripubertal,1
non-euphoric,1
phytocannabinoid,1
cannabidiol,4
(30 mg/kg),1
postnatal,1
(PND),1
19,3
PND,1
39,1
reverse,1
exposed,2
rats:,1
i),1
up-regulation,1
(only,1
partially,1
prevented,1
haloperidol,1
0.6 mg/kg/day);,1
ii),1
regional,1
flow,7
Molecular,1
modelling,1
predicted,1
bind,1
preferentially,1
"receptor,",1
where,1
act,1
partial,1
agonist,1
conformation,1
"ionic-lock,",1
conserved,1
GPCRs.,1
"summary,",1
demonstrate,1
altered,2
model;,1
however,1
transcript,1
likely,2
suggesting,1
might,1
contribute,3
schizophrenia,2
symptoms,2
represent,1
unexplored,1
target,1
antipsychotic,1
"cannabidiol.
",1
timing,2
immunosuppressive,1
combination,1
(PTCY),1
transplant,1
(haplo-HSCT),1
standardized.,1
schedules,1
immunosuppression,3
haplo-HSCT,2
509,1
PTCY,4
+3,3
+4,1
tacrolimus,1
(group,3
1;,1
"n = 215),",1
cyclosporine,1
(CSA),1
mycophenolate,1
mofetil,1
(MMF),1
+5,3
2;,1
"n = 170),",1
CSA + MMF,2
0,1
3;,1
n = 124).,1
Compared,1
2,9
"groups,",1
younger,1
(median,1
46,1
P = .02),1
more,7
received,5
(77%;,1
P,1
<,1
.01),1
regimen,1
containing,1
"thiotepa,",1
"fludarabine,",1
busulfan,1
(84%;,1
P<,1
.01).,1
"years,",2
44%,1
"1,",3
48%,1
"2,",3
59%,1
(P=,5
.15);,1
(LFS),1
"43%,",1
"46%,",1
53%,1
.05);,1
refined,1
"disease-free,",1
(rGRFS),1
"33%,",1
"39%,",1
36%,1
(P = .02).,1
grade,4
II-IV,1
GVHD,2
25%,1
39%,1
18%,1
(P<,1
.01);,1
"25%,",1
24%,1
.50);,1
"36%,",1
"37%,",1
26%,1
.02);,1
"26%,",1
"20%,",1
21%,1
.35).,1
start,2
+1,1
(hazard,1
ratio,4
"[HR],",1
.58;,1
P=,1
.02),1
improved,2
rGRFS,1
"(HR,",1
.62;,1
P = .02).,1
outcomes,2
PTCY.,1
administered,2
improves,2
"rGRFS.
",1
Immune,2
pivotal,1
synucleinopathy,2
Parkinson’s,2
(PD),3
mediated,2
neurotoxic,1
alpha-synuclein.,1
limited,1
another,1
dementia,6
Lewy,1
bodies,1
(DLB).,1
Recent,1
impairment.,1
aimed,2
estimate,3
plasma,11
profile,3
synucleinopathies,3
(PD,1
"(PDD),",1
DLB).,1
Plasma,2
(interferon-gamma,1
"(IFN-gamma),",1
interleukin,1
(IL)-4,1
"(IL-4),",1
"IL-6,",2
"IL-10,",3
tumor,2
necrosis,1
factor,2
alpha,1
"(TNF-alpha),",1
monocyte,1
chemoattractant,1
protein-1,1
(MCP-1)).,1
estimated,1
16,3
"DLB,",1
"PDD,",2
28,1
PD,15
individuals,2
disorders,1
(controls),1
Luminex,1
array,2
system.,1
Cognitive,1
assessed,7
Mini–Mental,1
State,1
Examination,1
(MMSE).,1
TNF-alpha,1
IL-6,2
elevated,1
"(DLB,",1
PDD),1
controls,7
IL-10,1
PDD,2
(p < 0.05).,1
IFN-gamma,1
"(p < 0.001,",1
"p = 0.026,",1
respectively),2
DLB,2
(p = 0.032).,1
"PD,",6
MCP-1,1
(p < 0.001).,1
same,2
"time,",1
differences,2
"TNF-alpha,",1
found.,2
pronounced,3
"demetia.
",1
Many,1
metastatic,2
non-small-cell,2
lung,2
cancer,1
(mNSCLC),1
experience,1
first-,1
second-line,1
treatment;,1
options,1
required,2
"ARCTIC,",1
phase,2
"III,",1
"randomized,",1
open-label,1
durvalumab,8
±,1
tremelimumab,7
versus,8
care,1
(SoC),4
≥,1
third-line,2
"mNSCLC.
",1
"methods
",1
ARCTIC,1
comprised,1
independent,1
sub-studies.,1
Study,7
A:,2
126,1
≥25%,1
(TCs),1
expressing,1
programmed,1
ligand-1,1
(PD-L1),1
(1,1
:,3
[up,1
12,3
months,13
10 mg/kg,1
every,1
weeks,10
(q2w)],1
SoC.,1
B:,2
469,1
PD-L1,3
TC,3
<25%,1
(3 :,1
durvalumab +,3
(12,1
20,1
mg/kg +,1
mg/kg,4
q4w,2
then,2
34,3
10,3
"q2w),",2
"SoC,",1
(up,1
24,1
q12w).,1
Primary,1
end,4
points:,1
(OS),1
progression-free,2
(PFS),1
SoC,4
(study,2
A;,1
descriptive,1
only),1
"B).
",2
11.7,1
(durvalumab),3
6.8,1
{hazard,1
(HR),1
0.63,1
[95%,1
confidence,2
interval,2
"(CI),",1
0.42–0.93]};,1
PFS,5
3.8,1
2.2,1
[HR,3
0.71,1
(95%,6
"CI,",3
0.49–1.04)].,1
11.5,1
(durvalumab +,2
tremelimumab),2
8.7,1
0.80,1
0.61–1.05);,1
P =,2
0.109].,1
Median,2
3.5,1
groups,5
0.77,1
0.59–1.01);,1
0.056].,1
Treatment-related,1
3/4,1
events:,1
9.7%,1
44.4%,1
(SoC;,2
A),1
22.0%,1
36.4%,1
heavily,1
pretreated,1
"mNSCLC,",1
clinically,2
meaningful,2
improvements,2
(patients,2
≥25%);,1
numerical,1
<25%).,1
Safety,2
profiles,2
consistent,2
previous,5
"studies.
",2
Trial,1
"registration
",1
Clinicaltrials.gov,1
identifier:,1
"NCT02352948.
",1
"Objectives
",3
Because,1
reference,4
intervals,2
(RIs),1
biochemistry,2
analytes,3
matched,2
population,3
"defined,",1
joined,1
global,2
values,3
(RVs),1
coordinated,1
IFCC,2
Committee,1
Intervals,1
Decision,1
Limits,1
"(C-RIDL).
",1
According,1
C-RIDL,1
harmonized,1
"protocol,",1
793,1
healthy,1
volunteers,2
recruited,2
"Saint-Petersburg,",1
"Moscow,",1
Yekaterinburg.,1
tested,1
analytes.,2
Sources,1
variation,2
RVs,4
explored,1
regression,2
partitioning,1
sex,2
judged,1
deviation,1
ANOVA.,1
Latent,1
abnormal,1
exclusion,1
(LAVE),1
applied,1
influence,2
metabolic,2
inappropriate,1
sampling,1
conditions.,1
RIs,5
computed,2
parametric,1
"method.
",1
No,3
appreciable,1
between-city,1
Partition,1
Age-related,1
"analytes,",2
especially,2
females.,1
trend,1
exaggerated,1
nutritional,2
closely,1
mass,1
index,1
"(BMI),",1
because,2
BMI,1
increases,2
prominently,1
age.,4
"Therefore,",1
BMI > 28 kg/m2,1
excluded,2
determining,1
age-specific,2
RIs.,1
LAVE,1
effective,1
lowering,1
"markers.
",1
established,1
biochemical,2
up-to-date,1
methods,1
detailed,1
consideration,2
RVs.,1
similar,1
participating,1
"countries.
",1
Adequate,1
transplacental,1
passage,1
maternal,8
thyroid,10
hormone,2
important,3
normal,6
fetal,3
growth,1
development.,1
Maternal,3
overt,1
hypothyroidism,4
hyperthyroidism,1
"birthweight,",3
knowledge,1
gaps,1
remain,2
subclinical,4
function,9
abnormalities,1
birthweight—both,1
general,1
third,3
trimester,3
pregnancy.,2
examine,1
associations,1
"birthweight.
",1
review,2
individual-participant,3
"meta-analysis,",1
searched,1
MEDLINE,1
"(Ovid),",1
"Embase,",1
Web,1
"Science,",1
Cochrane,1
Central,1
Register,2
Controlled,1
"Trials,",1
Google,1
Scholar,1
inception,1
Oct,1
"15,",1
"2019,",1
prospective,3
pregnancy,2
issued,1
invitations,1
identify,1
authors,2
join,1
Consortium,1
Thyroid,1
Pregnancy.,1
"pregnancies,",1
in-vitro,1
"fertilisation,",1
pre-existing,1
medication,1
"usage,",1
"miscarriages,",1
stillbirths.,1
main,1
(SGA),1
"neonates,",2
large,1
newborn,1
birthweight.,3
analysed,1
mixed-effects,1
models,2
adjusting,1
"BMI,",1
"ethnicity,",1
"parity,",1
"sampling,",1
"sex,",1
birth.,1
pre-registered,1
International,1
Prospective,1
Systematic,1
"Reviews,",1
"CRD42016043496.
",1
"Findings
",1
2526,1
published,1
"reports,",2
36,1
cohorts,3
met,1
inclusion,1
criteria.,1
15,3
agreed,1
"participate,",1
five,1
unpublished,1
datasets,1
"added,",1
giving,1
48 145,1
mother–child,1
pairs,1
"exclusions,",1
whom,1
1275,1
(3·1%),1
(increased,1
stimulating,1
[TSH],1
free,1
thyroxine,1
[FT4]),1
929,1
(2·2%),1
isolated,4
hypothyroxinaemia,3
(decreased,1
FT4,3
TSH).,1
higher,7
SGA,4
euthyroidism,2
(11·8%,1
vs,2
10·0%;,1
adjusted,2
difference,7
"2·43%,",1
95%,1
CI,1
0·43,1
4·81;,1
odds,1
[OR],1
"1·24,",1
1·04,1
1·48;,1
p=0·015),1
mean,2
birthweight,4
(mean,2
−38,1
"g,",2
−61,1
−15;,1
"p=0·0015),",1
measurement,2
second.,1
Isolated,1
(7·3%,1
"10·0%,",1
"−2·91,",1
−4·49,1
−0·88;,1
OR,1
"0·70,",1
0·55,1
0·91;,1
p=0·0073),1
45,1
73;,1
p=0·0012).,1
Each,2
SD,2
TSH,2
6,2
g,2
(–10,1
−2;,1
"p=0·0030),",1
estimates,1
women,2
peroxidase,1
negative,1
(pinteraction=0·10).,1
(–25,1
−17;,1
"p<0·0001),",1
"second.
",1
"Interpretation
",1
"inverse,",1
dose-response,1
(even,1
within,2
range),1
advance,1
understanding,3
complex,3
relationships,1
"outcomes,",1
prompt,1
careful,1
risks,1
benefits,1
levothyroxine,1
"pregnancy.
",1
"Funding
",1
Netherlands,1
Organization,1
Scientific,1
Research,1
(grant,1
"401.16.020).
",1
Lorlatinib,4
third-generation,1
tyrosine-kinases,1
inhibitor,2
(TKI),1
targeting,1
ALK/ROS1,2
fusions.,1
FDA,1
approved,1
lorlatinib,1
